label,trajectory,ids
1,"[[24, 15], [18, 15], [18, 15], [17, 15], [17, 15], [18, 15], [24, 15], [23, 15], [20, 29], [18, 20], [26, 38], [32, 47], [26, 41], [77, 37], [49, 47], [83, 35], [109, 43], [104, 39], [90, 34], [130, 28], [123, 36], [113, 43], [7, 15], [12, 15], [33, 15], [34, 15], [40, 15], [40, 15], [49, 15], [39, 15]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[108, 15], [108, 15], [111, 28], [81, 36], [50, 46]]","[[1], [1], [1], [1], [1]]"
1,"[[135, 17], [126, 18], [127, 23], [122, 24], [113, 20], [116, 21], [93, 25], [79, 31], [70, 45], [54, 46], [55, 31], [61, 28], [60, 29], [71, 24], [66, 15], [62, 15], [49, 15], [40, 15], [57, 15], [67, 19], [89, 19], [104, 21], [124, 24], [188, 61], [189, 62]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[8, 52], [17, 43], [37, 27], [85, 21], [74, 20], [80, 18], [69, 15], [76, 15], [73, 15], [84, 15], [121, 14], [132, 26], [136, 30], [145, 33], [159, 31], [165, 29], [164, 14], [157, 15], [161, 15], [167, 21], [176, 38], [184, 40], [186, 44], [182, 50], [183, 55]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[86, 62], [125, 84], [191, 85], [196, 62], [202, 53], [197, 40], [194, 24], [191, 17], [193, 17], [200, 21], [205, 20], [209, 18]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[82, 55], [144, 46], [144, 32], [150, 32], [144, 32], [140, 32], [162, 40], [159, 35], [156, 36], [150, 36], [152, 36], [173, 50], [188, 53], [183, 55], [180, 57], [179, 57], [170, 57], [171, 55], [171, 55], [171, 55]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[185, 26], [191, 31], [196, 36], [204, 35], [206, 66], [206, 66], [197, 65], [188, 74], [189, 73], [188, 64], [184, 57], [202, 56], [214, 47], [226, 40], [219, 36], [215, 28], [211, 27], [203, 27], [193, 28], [188, 27], [194, 43], [174, 53], [176, 60], [179, 63], [162, 67], [157, 69], [156, 69], [156, 66], [153, 65], [153, 66], [135, 70], [116, 77], [113, 81], [108, 82], [106, 80], [99, 81], [89, 81], [84, 78], [83, 74], [121, 47], [123, 42], [121, 35], [132, 33], [137, 34], [162, 36], [163, 35], [166, 32], [178, 27], [181, 27], [198, 32], [221, 32], [224, 33], [219, 38], [216, 42], [214, 54], [210, 52], [209, 31], [200, 44], [196, 53], [197, 55], [194, 61], [204, 68], [206, 71], [208, 57], [173, 46], [168, 42], [160, 33], [153, 27], [148, 24], [141, 19], [132, 16], [133, 15], [97, 15], [97, 15]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[183, 18], [185, 24], [191, 31], [196, 36], [204, 44], [206, 63], [207, 62], [197, 61], [188, 73], [189, 72], [180, 64], [183, 56], [201, 53], [214, 45], [223, 39], [214, 36], [210, 29], [209, 28], [201, 28], [193, 28], [188, 28], [193, 42], [174, 52], [176, 59], [180, 63], [157, 66], [157, 68], [156, 69], [156, 66], [153, 65], [153, 66], [134, 70]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[262, 41], [261, 44], [255, 50], [249, 56], [251, 60], [244, 68], [214, 82], [185, 69], [196, 74], [190, 70], [189, 70], [190, 71], [179, 65], [175, 63], [172, 54], [175, 52], [164, 27]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[162, 64], [166, 61], [173, 54], [177, 50], [175, 48], [178, 47], [186, 49], [192, 49], [198, 36], [202, 25], [205, 23], [199, 25], [200, 27], [208, 31], [211, 34], [215, 35], [215, 38], [214, 42], [214, 45], [234, 49], [244, 53], [248, 54], [255, 60], [255, 64], [256, 65], [256, 65], [256, 66], [256, 66], [256, 65], [255, 65], [254, 64], [251, 62], [246, 62], [245, 61], [245, 58], [246, 55], [244, 53], [245, 54], [244, 54], [242, 54], [242, 54], [241, 54], [241, 55], [242, 58], [247, 63], [244, 68], [234, 68], [233, 65], [231, 63], [227, 58], [228, 53], [226, 50], [224, 46], [228, 42], [228, 41], [229, 40], [230, 38], [234, 39], [244, 41], [240, 42]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[266, 74], [252, 74], [247, 73], [242, 68], [242, 59], [249, 51], [246, 47], [250, 38], [248, 29], [253, 27], [260, 20], [262, 20], [266, 23], [265, 31], [264, 36], [262, 44], [263, 51], [262, 53], [261, 56], [262, 57], [261, 57], [261, 60], [262, 47]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[270, 30], [256, 28], [246, 36], [251, 47], [243, 60], [246, 53], [246, 46], [250, 41], [242, 42], [225, 47], [219, 49], [229, 60], [256, 35], [262, 25], [262, 24]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[42, 74], [90, 79], [86, 76], [89, 77], [94, 76], [98, 67], [101, 66], [93, 66], [103, 62], [120, 58], [121, 55], [134, 52], [138, 48], [141, 46], [143, 44], [136, 41], [143, 38], [143, 38], [148, 31], [155, 32], [163, 32], [178, 32], [192, 37], [197, 41], [197, 48], [169, 55], [169, 51], [170, 52], [165, 55], [152, 60], [152, 60], [142, 63], [135, 64], [126, 71], [129, 76]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[82, 71], [84, 60], [84, 54], [82, 53], [84, 47], [89, 45], [90, 44], [92, 44], [92, 46], [96, 45], [104, 44], [118, 40], [106, 49], [129, 41], [132, 42], [133, 44], [130, 46], [130, 48], [136, 49], [136, 42], [150, 47], [157, 50], [163, 52], [154, 56], [139, 57]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[63, 35], [40, 38], [37, 42], [38, 46], [38, 43], [29, 43], [25, 44], [23, 45], [24, 45], [26, 50], [60, 54], [66, 50], [68, 48], [68, 49], [82, 55], [87, 59], [88, 60], [88, 61], [90, 60], [91, 58], [91, 53], [99, 50], [104, 48], [108, 45], [108, 42], [108, 42], [109, 42], [109, 41], [110, 44], [121, 44], [111, 40], [122, 38], [114, 40], [121, 44], [122, 44]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[155, 192], [155, 191], [157, 189], [160, 189], [162, 189], [167, 191], [168, 194], [172, 195], [185, 189], [183, 184], [197, 135], [192, 127], [176, 116], [166, 86], [183, 48], [172, 48], [177, 38], [154, 48], [126, 67], [116, 72], [99, 82], [80, 77], [83, 70], [89, 62], [88, 58], [94, 57], [104, 56], [110, 56], [111, 56], [112, 56], [113, 58], [114, 58], [116, 60], [117, 62], [134, 64], [136, 64], [139, 64], [140, 64], [144, 64], [146, 66], [134, 66], [149, 70], [149, 72], [151, 73], [158, 74], [156, 76], [162, 76], [184, 78], [191, 79]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[273, 116], [274, 114], [272, 111], [274, 109], [277, 104], [276, 100], [274, 98], [266, 85], [260, 84], [256, 88], [254, 99], [252, 101], [251, 102], [271, 101], [266, 85], [255, 80], [258, 67], [257, 60], [259, 68], [266, 58]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[134, 129], [119, 118], [82, 115], [69, 112], [38, 88], [33, 76], [29, 68], [43, 54], [44, 41], [55, 35], [56, 34], [58, 35], [62, 36], [74, 38], [84, 42], [90, 43], [101, 48], [110, 50], [116, 52], [121, 54], [131, 54], [142, 55], [142, 56], [149, 56], [153, 56], [158, 54], [160, 54], [160, 50], [176, 51], [183, 49], [190, 47], [199, 44], [200, 43], [198, 43], [206, 47], [214, 52], [218, 54]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[2, 57], [2, 54], [2, 53], [2, 50], [2, 49], [6, 49], [4, 49], [5, 43], [5, 36], [4, 15], [12, 14], [25, 14], [50, 14], [76, 15], [96, 14], [113, 10], [114, 8], [114, 7], [109, 3], [99, 15]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[152, 18], [133, 27], [131, 23], [128, 22], [138, 23], [151, 29], [160, 36], [110, 28], [87, 28], [51, 23], [41, 14], [36, 14], [23, 14], [18, 14]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[85, 142], [95, 90], [92, 80], [96, 67], [92, 62], [91, 48], [79, 36], [92, 27], [117, 15], [116, 15], [105, 15], [90, 15], [61, 15], [57, 15], [49, 15], [43, 15], [46, 15]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[235, 54], [231, 61], [231, 62], [234, 61], [233, 61], [231, 61], [233, 60], [232, 59], [231, 60], [237, 61], [240, 61], [235, 57], [233, 57], [232, 57], [231, 57], [229, 56], [228, 54], [224, 51], [224, 50], [218, 45], [214, 41], [214, 41], [218, 44], [225, 47], [221, 51]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[146, 70], [128, 60], [120, 46], [113, 40], [106, 42], [106, 52], [131, 71], [143, 71], [160, 55], [156, 46], [163, 40], [156, 37], [160, 36], [162, 36], [165, 37], [171, 41], [200, 44], [199, 49], [212, 50]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[63, 168], [65, 165], [84, 167], [83, 168], [61, 171], [65, 169], [107, 168], [119, 166], [133, 161], [136, 154], [135, 143], [148, 122], [148, 111], [146, 101], [155, 90], [138, 85], [158, 68], [159, 56], [186, 48], [187, 38], [183, 32], [168, 30], [154, 30], [161, 30], [174, 34], [177, 33], [177, 28], [177, 24], [179, 15]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[58, 15], [66, 15], [67, 15], [73, 19], [69, 21], [71, 22], [81, 24], [87, 23], [86, 21], [88, 21], [80, 22], [78, 22], [82, 22], [76, 23], [76, 24], [70, 27], [69, 30], [71, 31], [62, 36], [49, 37], [62, 42]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[47, 137], [59, 136], [80, 130], [146, 104], [146, 94], [148, 88], [146, 79], [140, 65], [122, 62], [119, 59], [129, 56], [131, 35], [164, 26], [140, 21], [149, 19], [144, 13], [136, 8], [132, 5]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[256, 116], [255, 112], [257, 88], [255, 53], [256, 40], [251, 35], [257, 28], [249, 22], [251, 19], [248, 14], [236, 7], [233, 4], [233, 2], [234, 2], [237, 2], [242, 4], [252, 10], [253, 12], [256, 9], [259, 4], [260, 2], [264, 10], [265, 16], [268, 22], [274, 20]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[185, 63], [186, 63], [207, 71], [217, 70], [212, 71], [219, 70], [227, 70], [237, 72], [236, 70], [206, 61], [210, 63], [209, 57], [192, 41], [194, 52], [171, 58], [145, 62], [126, 74]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[152, 128], [145, 108], [144, 105], [140, 98], [134, 51], [89, 27], [78, 23], [67, 20], [64, 19], [51, 15], [49, 15], [50, 15], [39, 15], [42, 15], [44, 15], [46, 15], [42, 15], [42, 15]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[8, 15], [8, 15], [12, 15], [12, 15], [23, 15], [41, 41], [42, 15], [40, 15], [19, 15], [21, 15], [20, 15], [28, 15], [46, 15], [49, 15], [55, 15], [15, 15]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[145, 32], [152, 34], [155, 35], [160, 38], [159, 40], [161, 42], [157, 40], [146, 40], [147, 42], [153, 47], [177, 53], [179, 53], [188, 52], [187, 50]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[87, 88], [94, 127], [88, 131], [87, 130], [100, 105], [99, 97], [99, 85], [98, 77], [96, 74], [93, 62], [104, 55], [125, 48]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[35, 49], [57, 50], [64, 49], [59, 47], [51, 46], [43, 43], [40, 41], [33, 39], [24, 35], [20, 33]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[104, 43], [100, 57], [88, 57], [83, 45], [79, 44], [77, 45], [72, 47], [68, 51], [59, 48], [47, 47], [61, 47], [66, 47], [112, 65]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[84, 32], [48, 26], [48, 27], [60, 30], [67, 30], [69, 29], [81, 29], [92, 23], [89, 31], [89, 35], [100, 37], [105, 46], [129, 57], [129, 60]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[223, 22], [238, 40], [249, 57], [246, 55], [254, 48], [258, 42], [256, 32], [235, 35], [207, 11]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[125, 14], [114, 14], [82, 18], [77, 16], [83, 14], [91, 14], [106, 14], [99, 21], [67, 14], [58, 14], [44, 16], [11, 14]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[189, 24], [178, 36], [166, 48], [169, 54], [173, 53], [168, 43], [168, 35], [168, 31], [165, 24], [178, 11], [182, 27], [171, 51], [150, 67], [140, 76], [97, 76], [111, 49], [97, 33], [98, 17]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[135, 51], [157, 48], [149, 11], [144, 13], [163, 35], [161, 51], [154, 55], [154, 64], [131, 111], [144, 170]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[155, 12], [139, 15], [130, 22], [122, 33], [116, 39], [112, 60], [103, 76], [90, 72], [84, 91], [86, 94], [81, 90], [72, 77], [60, 61], [58, 48], [65, 26], [65, 15]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[14, 63], [24, 57], [28, 54], [32, 51], [40, 47], [41, 47], [16, 34], [11, 37], [11, 45], [18, 53], [30, 56], [35, 57], [44, 60]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[18, 15], [56, 19], [65, 37], [66, 47], [74, 66], [97, 71], [100, 69], [100, 66], [91, 59], [87, 56], [80, 52], [84, 52], [88, 50], [92, 42], [92, 31], [96, 24], [94, 15]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[102, 103], [98, 100], [102, 106], [104, 117], [89, 81], [88, 62], [87, 56], [85, 56], [86, 57], [88, 59], [90, 59], [91, 62], [124, 65], [125, 67], [125, 69], [124, 68], [123, 67], [131, 46], [132, 44]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[66, 36], [77, 43], [94, 53], [99, 42], [94, 40], [89, 33], [91, 33], [93, 36], [96, 46], [91, 45], [84, 37], [92, 38], [101, 40], [126, 67], [117, 68], [111, 66], [109, 49], [113, 47], [116, 43]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[17, 40], [13, 42], [42, 35], [63, 34], [67, 34], [100, 39], [116, 43], [120, 41], [139, 56], [125, 60], [130, 60], [128, 56], [134, 55]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[224, 128], [267, 89], [240, 77], [221, 72], [190, 67], [154, 63], [123, 59], [89, 54], [83, 53], [72, 53], [66, 53], [82, 56], [83, 65]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[190, 73], [188, 77], [210, 90], [216, 88], [215, 86], [213, 85], [216, 78], [184, 36]]","[[1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[218, 7], [234, 27], [241, 40], [239, 62], [240, 80], [248, 87], [249, 88], [285, 59], [280, 48], [267, 29], [252, 13]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[223, 32], [220, 27], [217, 20], [216, 19], [214, 14], [212, 12], [212, 12], [205, 20], [198, 25], [197, 35], [203, 45], [224, 58]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[271, 33], [247, 32], [239, 36], [242, 40], [256, 48], [278, 55], [285, 56], [293, 59], [288, 61], [287, 68], [283, 43], [281, 24], [271, 13]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[98, 6], [101, 20], [101, 30], [85, 38], [91, 39], [92, 39], [78, 35], [74, 33], [75, 32], [81, 16], [89, 14]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[119, 52], [113, 48], [127, 44], [126, 49], [122, 48], [117, 46], [106, 60], [98, 70]]","[[1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[125, 39], [124, 33], [123, 27], [114, 21], [95, 16], [83, 14], [87, 14], [96, 14], [98, 14], [95, 21], [93, 25], [86, 27], [80, 24], [71, 19], [68, 16], [66, 14], [64, 14], [65, 14], [72, 14], [90, 12], [98, 2], [180, 10], [196, 16], [223, 39], [254, 73]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[116, 117], [81, 118], [67, 108], [70, 97], [77, 90], [98, 78], [107, 64], [171, 65], [192, 52]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[118, 65], [91, 46], [76, 45], [72, 42], [92, 39], [92, 41], [109, 44], [114, 52]]","[[1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[127, 107], [111, 65], [92, 46], [77, 44], [72, 42], [92, 39], [91, 41], [109, 43], [120, 46], [116, 53], [124, 54]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[238, 58], [223, 52], [218, 55], [215, 52], [213, 50], [216, 44], [219, 37], [217, 33], [207, 7], [208, 8], [215, 11], [218, 21], [221, 30], [221, 39]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[200, 73], [197, 73], [186, 69], [188, 67], [216, 39], [214, 35], [212, 33], [205, 32], [200, 31], [197, 31], [193, 29], [186, 26], [182, 23], [170, 11]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[270, 27], [261, 28], [262, 29], [258, 30], [256, 31], [246, 43], [246, 47], [244, 51], [234, 54], [229, 55], [221, 63], [224, 68], [203, 75], [200, 73], [197, 72], [185, 69], [187, 66], [201, 57], [216, 38], [213, 34], [211, 32], [205, 31], [200, 31], [197, 30], [193, 29], [186, 25], [182, 22], [169, 10]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[120, 54], [121, 65], [127, 73], [140, 89], [129, 104], [126, 76], [125, 70], [115, 40], [115, 41]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[173, 135], [158, 117], [138, 79], [133, 50], [126, 34], [124, 12], [158, 7], [181, 11], [218, 23], [239, 44], [247, 44], [254, 36], [269, 30], [278, 28]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
1,"[[63, 35], [38, 38], [35, 42], [40, 46], [32, 43], [27, 43], [23, 44], [22, 45], [22, 45], [24, 49], [26, 59], [28, 64], [48, 65], [54, 58], [59, 54], [59, 50], [62, 48], [62, 49], [70, 55], [85, 59], [87, 60], [87, 60], [88, 59], [90, 57], [91, 53]]","[[1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1]]"
